,,,,,,,,,,,,,,,downloaded_filename,drive_file_id
21,Book,When It's Moonlight On The Prairie,Front Cover,Back Cover,1,1,Popular Vocal (piano),Robt. F. Roden,S.R. Henry,102-104 W. 38th St. NY,Jos. W. Stern & Co.,,1908,Front Cover: A woman and a man riding horses.,NOT DOWNLOADED: 1qo12Dn-SvOSrMWq1ioY,1qo12Dn-SvOSrMWq1ioYpYhW2aFNPj_Sh
22,Book,How Can I Help Loving Thee?,Front Cover,Back Cover,1,1,Popular Vocal (piano),Julian Jordan,Julian Jordan,105 So. Fourth Ave. NY,The Foutain Music Co.,,1908,"Front Cover: ""Three Songs"" with three circle naming the songs and flowers around.",NOT DOWNLOADED: 1Nd3JLupCta4iwvgSede,1Nd3JLupCta4iwvgSedeic06hC88eKGTR
23,Book,Scuse Me Today,Front Cover,Back Cover,1,8,Popular Vocal (piano),Chas. K. Harris,Chas. K. Harris,NY and Chicago,Chas. K. Harris,,1909,Front Cover: Students in a classroom.,NOT DOWNLOADED: 18elDKzxfzLRBuTEppSG,18elDKzxfzLRBuTEppSGd4k3ykS3C-scl
24,Book,I Dreamed You Were Dreaming of Me,Front Cover,Back Cover,1,1,Romance,Earle C. Jones,L. Albert,Detroit and NY,Jerome H. Remick & Co.,,1910,Front Cover: A man sitting in a chair think and a woman in a cloud watching.,NOT DOWNLOADED: 1nv_el4dcccUmJNvRP33,1nv_el4dcccUmJNvRP33RDNYeWpCGOlIW
25,Book,"Oh, You Dream",Front Cover,Back Cover,1,2,Romance,Wm. Jerome,Jean Schwartz,NY and Chicago,Jerome H. Remick & Co.,,1910,Front Cover: A woman's side profile.,,
26,Book,Flower of Memory (4 copies),Front Cover,Back Cover,1,1,Popular Vocal (piano),W.C. Howard,W.C. Howard,123 West 42nd St. NY,Pease Piano Company,,1911,Front Cover: A man and woman hugging while the man holds a flower.,NOT DOWNLOADED: 1bPlnb-T98TVBb6UyWOf,1bPlnb-T98TVBb6UyWOfdI6p2GViGK19P
27,Book,Flower of Memory,Front Cover,Back Cover,1,1,Popular Vocal (piano),W.C. Howard,W.C. Howard,124 West 42nd St. NY,Pease Piano Company,,1911,Front Cover: A man and woman hugging while the man holds a flower.,,
28,Book,Flower of Memory,Front Cover,Back Cover,1,1,Popular Vocal (piano),W.C. Howard,W.C. Howard,125 West 42nd St. NY,Pease Piano Company,,1911,Front Cover: A man and woman hugging while the man holds a flower.,,
29,Book,Flower of Memory,Front Cover,Back Cover,1,1,Popular Vocal (piano),W.C. Howard,W.C. Howard,126 West 42nd St. NY,Pease Piano Company,,1911,Front Cover: A man and woman hugging while the man holds a flower.,,
30,Book,Flower of Memory,Front Cover,Back Cover,1,1,Popular Vocal (piano),W.C. Howard,W.C. Howard,127 West 42nd St. NY,Pease Piano Company,,1911,Front Cover: A man and woman hugging while the man holds a flower.,,
31,Book,Flower of Memory,Front Cover,Back Cover,1,1,Popular Vocal (piano),W.C. Howard,W.C. Howard,128 West 42nd St. NY,Pease Piano Company,,1911,Front Cover: A man and woman hugging while the man holds a flower.,,
32,Book,By The Beautiful Sea,Front Cover,Back Cover,1,1,Dance Folio,Harold R. Atteridge,Harry Carroll,Broadway & 39th St. NY,"Shapiro, Bernstein & Co. Inc.",,1914,Front Cover: People dancing near a beach with water. Stanford Four presented.,NOT DOWNLOADED: 1rlBSb8QdL0U7BjeoBgN,1rlBSb8QdL0U7BjeoBgNW4qHL9HelgQKG
33,Book,You're Here and I'm Here,Front Cover,Back Cover,1,3,Romance,Harry B. Smith,Jerome D. Kern,"Feist Building, 231 West 40th St. NY","Leo Feist, Inc.",,1914,"Front Cover: "" Donald Brian in the Marriage Market"" a picture of a man. A squared box bottom right "" Also published as a One-Step, Two-Step & Trot as featured by Mr. & Mrs. Vernon Castle"".",NOT DOWNLOADED: 1jZNYbiWQuOgqrObuFQS,1jZNYbiWQuOgqrObuFQS_1GafUt-SmU9F
34,Sheet,School Days,Front Cover,Back Cover,1,1,Popular Vocal,Cobb & Edwards,Cobb & Edwards,"1512 Broadway, NY",Gus. Edward Music Pub. Co.,,1907,,,
35,Sheet,"Latest Song Successes From ""The House Melodious:",Front Cover,Back Cover,1,5,Popular Vocal,Raymond A. Browne,Cobb & Edwards,1512 Broadway NY,Gus. Edward Music Pub. Co.,,1906,,,
36,Book,Red Red Rose,Front Cover,Back Cover,1,2,Romance,Alex. Rogers,Will Marion Cook,50 W 29th St. NY,The Gotham Attucks Music Co.,,1908,Front Cover: A big Red Rose in the center with a picture of a girl in the bottom right,NOT DOWNLOADED: 1DIYUbzbX6uDNcKt0ZrO,1DIYUbzbX6uDNcKt0ZrOPTJ_APYRY1zbP
37,Book,Daddy's Little Tom-Boy Girl,Front Cover,Back Cover,1,1,Popular Vocal (piano),Robt. F. Roden,J. Fred Helf,43 W. 28th St. NY,Helf & Hager Co. Inc,,1908,Front Cover: A father watching his daughter flirt with a boy.,NOT DOWNLOADED: 1ulZCSrTlSz5-S-vl5rz,1ulZCSrTlSz5-S-vl5rz1ARQDZmh9WDGY
