,,,,,,,,,,,,,,,downloaded_filename,drive_file_id
222,Book,Happy Dreams,Front Cover,Back Cover,2,13,Piano,None,Carl Bonner,1712 Chestnut St. Philadelphia,Theodore Presser Co.,,1911,Front Cover: Brown bag and orange details.,,
223,Book,Marche Militaire,Front Cover,Back Cover,2,20,Piano,None,P. Tschaikowsky,1712 Chestnut St. Philadelphia,Theodore Presser Co.,,1911,Front Cover: A woman playing the piano surrounded by angles singing and admiring.,,
224,Book,Miserere,Front Cover,Back Cover,2,16,Piano,None,G. Verdi,1712 Chestnut St. Philadelphia,Theodore Presser Co.,,1912,Front Cover: A picture of Charles Francois Gounod; red colors.,,
225,Book,Valse Mignon,Front Cover,Back Cover,2,14,Piano,None,Carl. Bohm,1712 Chestnut St. Philadelphia,Theodore Presser Co.,,1912,"Front Cover: ""The Grand Opera Number II"" and three men are presented in front; red colors.",,
226,Book,Vacation Rambles,Front Cover,Back Cover,2,19,Piano,None,Carl Moter,1712 Chestnut St. Philadelphia,Theodore Presser Co.,,1912,Front Cover: Four men each playing a different instrument.,,
227,Sheet,Swanee River Moon,Front Cover,Back Cover,2,1,Waltz,H. Pitman Clarke,H. Pitman Clarke,"Feist Building, 231 West 40th St. NY","Leo Feist, Inc.",,1921,Front Cover: A drawing of a landscape; red,NOT DOWNLOADED: 1NoiZttN7zmYPUh5KVzP,1NoiZttN7zmYPUh5KVzPCrxXVKe0foX-N
228,Book,My Isle of Golden Dreams,Front Cover,Back Cover,2,1,Popular Vocal,Gus Kahn,Walter Blaufuss,Detroit and NY,Jerome H. Remick & Co.,,1919,Front Cover: Two women posed and smiling.,NOT DOWNLOADED: 1ym65Gy-0R8DQHym_w97,1ym65Gy-0R8DQHym_w97a-jcv_wV91KG0
229,Sheet,Roses of Picardy,Front Cover,Back Cover,2,1,Choir,Fred E. Weatherly,Haydn Wood,41 East 34th St. NY,Chappell & Co. Ltd.,,1916,Voice parts on the title page.,NOT DOWNLOADED: 1N-AGIHWOVRw3MzsUGhn,1N-AGIHWOVRw3MzsUGhn8GswI0q5kr_DA
230,Book,Guckert's Chords for the Mandolin,Front Cover,Back Cover,2,1,Mandolin,None,None,,Union Music Co.,,1919,"Front Cover: Mandolin, banjo, and green color.",NOT DOWNLOADED: 1BytpM873vb4gNrRQh5W,1BytpM873vb4gNrRQh5WGfgcgTd6eG_Qz
231,Book,Moonlight and Roses,Front Cover,Back Cover,2,1,Popular Vocal,"Edwin H. Lemare, Ben Black, Neil Moret","Edwin H. Lemare, Ben Black, Neil Moret",San Francisco,Villa Moret Inc.,,1925,,NOT DOWNLOADED: 1PEz2r9KUK4cbWr__GUy,1PEz2r9KUK4cbWr__GUyOOuYOYzamCbUo
232,Book,Moyer's Modern Mandolin Method,Front Cover,Back Cover,2,5,Piano/Waltz,None,A. Pestalozza,231-235 West 40th St. NY,Century Music Publishing Co.,,1909,Front cover is green with a mandolin,NOT DOWNLOADED: 1xFsyAs-_l8N5_MQfsSW,1xFsyAs-_l8N5_MQfsSWHFDVrhIerDCAa
233,Book,"At Dawning ""I Love You""",Front Cover,Back Cover,2,1,Romance,Nelle Richmond Eberhart,Charles Wakefield Cadman,New York,Oliver Ditson Company,,1906,Front Cover: A pretty landscape during sunset framed by flowers.,NOT DOWNLOADED: 1MYyn-Om2tSXmUmPV_7j,1MYyn-Om2tSXmUmPV_7jy0g9Y7vJ8aqXV
234,Book,Martha,Front Cover,Back Cover,2,1,Violin/Piano,None,Sep. Winner,231-235 West 40th St. NY,Century Music Publishing Co.,,1908,Pink and green details.,NOT DOWNLOADED: 1O7pJ7G2mUigQ9eq49cm,1O7pJ7G2mUigQ9eq49cmuLn0k1-Td45OY
235,Book,The Eclipse Self Instructor for Mandolin,Front Cover,Back Cover,2,,Mandolin,None,Paul de Ville,New York,Carl Fischer,,1905,,NOT DOWNLOADED: 12f5TfLjMcc5y1zK-YL8,12f5TfLjMcc5y1zK-YL8Himccsw-lN5EN
236,Book,Arkansas' Calling,Front Cover,Back Cover,2,1,Popular Vocal,Louise Artrip,Louise Artrip,122 N. 12th St. Phila,Jack Howard Publications Inc.,,1950,"Front Cover: ""Hawkshaw Hawkins King Records"".",NOT DOWNLOADED: 1CTzbMFcKIM1lnz_pXqB,1CTzbMFcKIM1lnz_pXqBtKFVppGfp-dM3
237,Sheet,"I Need You, My Darling",Front Cover,Back Cover,2,1,Popular Vocal,Louise Artrip,Freddie Rose,"P.O Box 143 Fort Smith, Arkansas",Artrip-Hendrix-Rose Publications,,1950,Gifted to Mr. and Mrs. Kenneth Parker by the writer for Christmas.,NOT DOWNLOADED: 139EISyGV8PB9yX5NZ-E,139EISyGV8PB9yX5NZ-Ee8dmyEoeGWkNu
238,Sheet,Three O'Clock in the Morning,Front Cover,Back Cover,2,1,Popular Vocal/Dance,Dorothy Terriss,Julian Robledo,"Feist Building, 231 West 40th St. NY","Leo Feist, Inc.",,1922,Front Cover: Couples dancing in a dark room.,NOT DOWNLOADED: 1_3DTM6rnajQBxUqIjXH,1_3DTM6rnajQBxUqIjXHwZ5dhOGSIAteu
239,Sheet,"Seven Songs, Just A-Wearyin' For You",Front Cover,Back Cover,2,1,Popular Vocal,Frank Stanton,Carrie Jacobs-Bond,,Carrie Jacobs-Bond,,1901,,NOT DOWNLOADED: 1QZvIIi41tKSen0p1jwn,1QZvIIi41tKSen0p1jwn_Md8DOed883Ah
240,Sheet,Ah! Sweet Mystery Of Life,Front Cover,Back Cover,2,1,Romance,Rida Johnson Young,Victor Herbert,New York,M. Witmark & Sons,,1910,,NOT DOWNLOADED: 1_WRk0KR_eBwngWMmWwy,1_WRk0KR_eBwngWMmWwy7imKvNJbyXvV3
241,Sheet,Oh How I Miss You Tonight,Front Cover,Back Cover,2,1,Romance,"Benny Davis, Joe Burke & Mark Fisher","Benny Davis, Joe Burke & Mark Fisher",1507 Broadway NY,"Irving Berlin, Inc. Music Publishers",,1910,Front Cover: A woman sitting on a couch and a feature of Davison's Louisville Loons.,NOT DOWNLOADED: 1GMEP4VWPxQOtiG3ZNAn,1GMEP4VWPxQOtiG3ZNAnu_osHjblJvwdB
242,Sheet,Face To Face (2 copies),Front Cover,Back Cover,2,1,Religious,Herbert Johnson,Herbert Johnson,"Boston, Mass. and Utica, NY",The Boston Music Co. and The Waldo Music Co.,,1902,,NOT DOWNLOADED: 1N_rzulJUz52NKnI6k8Q,1N_rzulJUz52NKnI6k8QRYU8jfbLYrMWU
243,Sheet,Carry Me Back to Old Virginny,Front Cover,Back Cover,2,1,Popular Vocal,James Bland,James Bland,"Boston, Mass.",Oliver Ditson Company,,1906,,NOT DOWNLOADED: 1qjzfnlD_W5EIvBL4c7j,1qjzfnlD_W5EIvBL4c7jAs0UEJKSlimOS
244,Sheet,A Dream,Front Cover,Back Cover,2,1,Popular Vocal,Charles B. Cory,J.C. Bartlett,"Boston, Mass.",Oliver Ditson Company,,1895,Front Cover: A woman laying on a book in a yard.,NOT DOWNLOADED: 1AwSklxJIT1zJo8zLeA2,1AwSklxJIT1zJo8zLeA26Pb19tWdTNzN9
245,Sheet,"Charming Songs, Looking Back",Front Cover,Back Cover,2,1,Popular,M. Greenwald,Arthur S. Sullivan,1178 Broadway & 17 West 28th St. NY,Century Music Publishing Co.,,1910,,NOT DOWNLOADED: 1Nq04Ut2fxNQPvM5s53X,1Nq04Ut2fxNQPvM5s53XSH5Rt1TCG5ZjV
246,Book,Front Cover,Front Cover,Back Cover,2,,Mandolin,None,None,223-225 West 46th St. NY,Jos. W. Stern & Co.,,1901,Front Cover: A woman playing a mandolin.,NOT DOWNLOADED: 14e7sH4pmcByhpac0Kin,14e7sH4pmcByhpac0Kinz4PZAhPX8Tkh-
247,Sheet,Roses of Picardy,Front Cover,Back Cover,3,1,Popular Vocal,Fred E. Weatherly,Haydn Wood,41 East 34th St. NY,Chappell & Co. Ltd.,,unknown,,NOT DOWNLOADED: 1nZDRkctVcj48QDXMlAo,1nZDRkctVcj48QDXMlAo3cdEtK1Vl4pzO
248,Sheet,Wabash Moon,Front Cover,Back Cover,3,1,Showtune/Pop,Dave Dreyer,Morton Downey,1607 Broadway NYC,Irving Berlin,,1931,Photo of Morton Downey on the cover.,,
249,Sheet,Just a Little Fond Effection,Front Cover,Back Cover,3,1,Jazz,,"Elton Box, Desmond Cox, Lewis Ilda",1270 Sixth Avenue NYC,Skidmore Music Co.,,1944,"Sole selling agent indicated is Shapiro, Bernstein & Co. Inc.",,
250,Book,By The Beautiful Sea,Front Cover,Back Cover,3,1,Dance Folio,Harold R. Atteridge,Harry Carroll,Broadway & 39th St. NY,"Shapiro, Bernstein & Co. Inc.","Shapiro, Bernstein & Co. Inc.",1914,Front Cover: People dancing near a beach with water. Stanford Four presented.,,
251,Sheet,I Don't Care Who Knows It,Front Cover,Back Cover,3,1,Showtune/Film,Harold Adamson,Jimmy McHugh,799 Seventh Avenue NYC,Twenieth Century Music Corporation,,1944,"From the musical film ""Nob Hill""",,
252,Sheet,"I Can Dream, Can't I?",Front Cover,Back Cover,3,1,Pop,Irving Kahal,Sammy Fain,"RKO Building, Rockefeller Center, NYC",Chappell & Co Inc,,1937,The Andrew Sisters on the front,,
253,Sheet,Red Roses For a Blue Lady,Front Cover,Back Cover,3,1,Easy Listening,Sid Tepper and Roy Brodsky,Side Tepper and Roy Brodsky,"1619 Broadway, New York, NY",Mills Music Inc,,1948,Vaughn Monroe on the cover.,,
254,Sheet,Hold Me,Front Cover,Back Cover,3,1,Pop,Unknown,"Little Jack Little, Dave Oppenheim, Ira Schuster","799 Seventh Avenue, NYC",Robbins Music Corporation,,1933,Ruth Etting on the cover.,,
255,Sheet,The Game of Broken hearts,Front Cover,Back Cover,3,1,Jazz,"Don Larkin, Sally Clark, Eddie McMullen","Don Larkin, Sally Clark, Eddie McMullen","407 Commercial Center Street, Beverly Hills, California","Hill and Range Songs, Inc.",,1949,Red clouds on the cover.,,
256,Sheet,The Glow-Worm,Front Cover,Back Cover,3,1,Classical,Paul Lincke,Paul Lincke,"RCA Building, Radio City, NYC",Edward B. Marks Music Corporation,,1932,Originally in German.,NOT DOWNLOADED: 1-c4urWpSnb6WGTeOVxX,1-c4urWpSnb6WGTeOVxXna7OblW9UHEqo
257,Sheet,Near You,Front Cover,Back Cover,3,1,Piano,Kermit Goell,Francis Craig,"1619 Broadway, New York 19, NY",Supreme Music Corporation,,1947,Performed by Larry Green and his orchestra.,NOT DOWNLOADED: 1IVYcDbt080LgNMW3WGW,1IVYcDbt080LgNMW3WGWJWJHaA12oGaYI
258,Sheet,Little Sir Echo,Front Cover,Back Cover,3,1,Voice/Unknown,Adele Girard and Joe Marsala,Adele Girard and Joe Marsala,"1619 Broadway, New York, NY","Bregman, Vocco, and Conn Inc",J.S. Fearis & Bro,1917 / 1939,Original version was 1917 by Jaura R. Smith and J.S. Fearis,NOT DOWNLOADED: 1hiTVV1O4OEWzclROMKB,1hiTVV1O4OEWzclROMKB_FgCaaCCjD2R6
259,Sheet,The Crazy Otto Rag,Front Cover,Back Cover,3,1,Guitar / Ukulele,"Eddie White, Mack Wolfson, Emil Trent, Fred Lawrence","Eddie White, Mack Wolfson, Emil Trent, Fred Lawrence","1650 Broadway, New York, NY",George Pincus Music Corp,,1955,,NOT DOWNLOADED: 1cG_ZwXLnTSQI4OWmf7o,1cG_ZwXLnTSQI4OWmf7oCFMZTcDrLGSM3
260,Sheet,Tweedlee Dee,Front Cover,Back Cover,3,1,Piano,Winfield Scott,Winfield Scott,"234 West 56th Street, New York, NY",Progressive Music Co. Inc,,1954,Recorded by multiple artists from different recording studios.,NOT DOWNLOADED: 1MdPE-Nfp5hdsEbnqjFM,1MdPE-Nfp5hdsEbnqjFMkVWkI65Z8FO_W
261,Sheet,There's No Tomorrow,Front Cover,Back Cover,3,1,Voice/Unknown,"Al Hoffman, Leo Corday and Leon Carr","Al Hoffman, Leo Corday and Leon Carr","1619 Broadway, New York, NY",Paxton Music Co.,,1949,1,NOT DOWNLOADED: 1GqW9A3nYH3KyHLH9qVG,1GqW9A3nYH3KyHLH9qVGt8IyChBRynH7O
262,Sheet,A Friend of Yours,Front Cover,Back Cover,3,1,Voice / Piano,Johnny Burke,Jimmy Van Heusen,"1619 Broadway, New York, NY",Burke and Van Heusen Inc.,,1944,"Featured in the film ""The Great John L.""",NOT DOWNLOADED: 1p_DYx1WGWMXkAi9CMZj,1p_DYx1WGWMXkAi9CMZjCD_g7CkRVzMlG
263,Sheet,Someday (You'll Want Me to Want You),Front Cover,Back Cover,3,1,"Voice, Guitar, etc.",Jimmy Hodges,Jimmy Hodges,"1619 Broadway, New York, NY",Main Street Songs,,1940 / 1944,Sonny Caroll on the cover.,NOT DOWNLOADED: 1svLiO_52dSgr-Vl-DI7,1svLiO_52dSgr-Vl-DI7WKCvdRrqPSzna
264,Sheet,Cruising Down the River (On a Sunday Afternoon),Front Cover,Back Cover,3,1,Voice / Piano,Eily Beadell and Nell Tollerton,Eily Beadell and Nell Tollerton,"1619 Broadway, New York, NY",Henry Spitzer Music Publishing Co. Inc.,,1945,Featuring Blue Barron and his orchestra.,NOT DOWNLOADED: 1a8ELwDoPiOPp9eA30Ic,1a8ELwDoPiOPp9eA30Ic-ogNoKhAalCJX
265,Sheet,My Baby's Comin' Home,Front Cover,Back Cover,3,1,Voice / Guitar/ Piano,"William G. Leavite, John C. Grady, Sherm Feller","William G. Leavite, John C. Grady, Sherm Feller","58 Cheney Street, Roxbury, MA",Roxbury Music Company,,1952,Featuring Les Paul and Mary Ford on the cover.,NOT DOWNLOADED: 1G1f04kk84cYC5F4jb5p,1G1f04kk84cYC5F4jb5p6NBHojqWfoF96
266,Sheet,Harbor Lights,Front Cover,Back Cover,3,1,Voice/ Piano,Jimmy Kennedy and Hugh Williams,Jimmy Kennedy and Hugh Williams,"Rockefeller Center, NY 20, New York",Chappell & Co Inc,,1937,,NOT DOWNLOADED: 1OBFXzdXXJ_1KPWVxY7r,1OBFXzdXXJ_1KPWVxY7rLLbAEM6Qes-Qe
267,Sheet,Rose O'Day (The Filla-Ga-Dusha Song),Front Cover,Back Cover,3,1,Unknown,Charlie Tobias and Al Lewis,Charlie Tobias and Al Lewis,"140 Riverside Drive, NYC, NY",Tobias and Lewis Music Publishers,,1941,Selling agent: Music Dealers Service Inc.,NOT DOWNLOADED: 1xKv9J9ytKoG3g6OvNyP,1xKv9J9ytKoG3g6OvNyP8fWCp8ABvTNSk
268,Sheet,Melody of Love,Front Cover,Back Cover,3,1,Pop / voice,Tom Glazer,H. Engelmann,"1270 Sixth Ave, New York, NY","Shapiro, Bernstein & Co. Inc.",,1942,Arrangement with Theodore Presser Co.,,
269,Sheet,White Christmas,Front Cover,Back Cover,3,1,Seasonal,Irving Berlin,Irving Berlin,"799 Seventh Ave, New York, NY",Irving Berlin Inc.,,1942,"From ""Holiday Inn""",NOT DOWNLOADED: 1uEAO5w35Xzp0qktyCQZ,1uEAO5w35Xzp0qktyCQZaQGzrOsbjOJfl
270,Book,Helpful Hints for Playing your Magnus Electric Chord Organ,Front Cover,Back Cover,3,14,Instructional,,,"1600 W. Edgar Road (Route 1), Linden, NJ",Magnus Organ Corp,,1966,Various songs by different writers but arranged by Sandford Hertz.,,
271,Book,Organ at Home,Front Cover,Back Cover,3,150?,Organ,Various,Various,"857 Broadway, New York, NY",Oliver Ditson & Co.,,1886?,No specific year for publicantion or address.,NOT DOWNLOADED: 1WJ3UWtk6tWUsIPuJNFe,1WJ3UWtk6tWUsIPuJNFeViEZAc7Y58-W_
272,Book,Organist's Friend and Companion Vol. Two,Front Cover,Back Cover,3,82,Organ,Various,Various (Compiled by Joseph Fischer),,J. Fischer & Bro,,1891,No specified address. Page might be missing.,NOT DOWNLOADED: 1ju1OP7Mxg1OFq9LSqx1,1ju1OP7Mxg1OFq9LSqx1KpNLFvICLnuZN
273,Sheet,The First Easter Morn,Front Cover,Back Cover,3,1,Religious,Charles Wesley,John Prindle Scott,"3 East 43rd Street, New York, NY",G. Schirmer Inc.,,1923,,NOT DOWNLOADED: 1f6xO4S9pcjY9GWssp6e,1f6xO4S9pcjY9GWssp6eMhh6B8_l6hRz9
274,Book,Ocean Grove Good News in Song,Front Cover,Back Cover,3,103,Religious,Various,Various (Compiled by Homer Rodeheaver),"1150 Hyde Park Boulevard, Inglewood, CA","The Rodeheaver, Hall-Mack Company",,1951,,NOT DOWNLOADED: 1AsR0sFNRc0GKSJmLOiA,1AsR0sFNRc0GKSJmLOiAjQsV8IORXmzNq
275,Book,Ocean Grove Favorite Hymns and Choruses,Front Cover,Back Cover,3,109,Religious,Various,Various (Walter D. Eddowes),"1151 E. Hyde Park Boulevard, Inglewood, CA.","The rodeheaver, Hall-Mack Company",,1954,,NOT DOWNLOADED: 1qqtA4tS_hAzp-NVfmXW,1qqtA4tS_hAzp-NVfmXWR0noj95mRpQ95
276,Book,The Organist: A bi-monthly Journal Devoted to The Pipe Organ and Reed Organ,Front Cover,Back Cover,3,39 ?,Instructional Organ,Various,Various (Compiled and Edited by E. L. Ashford),"70 E. 45th Street, New York, NY",Lorenz Publishing Co,,1923,"In very bad shape, no cover around it.",,
277,Sheet,Oh Promise Me,Front Cover,Back Cover,3,1,Piano and Vocal,Clement Scott,Reginald De Koven,"3 E. 43rd Street, New York, NY",G. Schirmer Inc.,,"1889, 1917",Sung by Miss Florence Wickham in Robin Hood,NOT DOWNLOADED: 1Upah9S9QSZEU8BFDolO,1Upah9S9QSZEU8BFDolOaENBTxRgNQeYZ
278,Sheet,Let Us Break Bread Together,Front Cover,Back Cover,3,1,Traditional Negro Spritual,Noah Francis Ryder,,"119 West 40th Street, New York, NY",J. Fischer & Bro,,,,NOT DOWNLOADED: 1yZk7EcdRJyekpsoGZHS,1yZk7EcdRJyekpsoGZHSy_K37HqTei7ov
279,Sheet,Praise Ye The Father,Front Cover,Back Cover,3,1,Religious,,CH Gounod,"159 East 48th Street, New York, NY",The H. W. Gray Co.,,,"No year indicated, might be a part of a book.",NOT DOWNLOADED: 1l0vMZ6Dwm0wDTBdeQ0A,1l0vMZ6Dwm0wDTBdeQ0AfyAjAWSYi7ldC
280,Sheet,"Praise the Lord, O my Soul",Front Cover,Back Cover,3,1,Religous,,Michael Watson,"3 E. 43rd Street, New York, NY",G. Schirmer Inc.,,1891,From G. Schimer Standard Church Music,,
281,Sheet,Twilight and Dawn,Front Cover,Back Cover,3,1,Religous,,Rev. I. Gregory Smith,"3 E. 43rd Street, New York, NY",G. Schirmer Inc.,,1918,From G. Schimer Standard Church Music,NOT DOWNLOADED: 1ESVw8Lu1vyLZLiA953-,1ESVw8Lu1vyLZLiA953-q0B1-Xrkem058
282,Book,Graded Course of Studies for the Piano Forte in Ten Grades,Front Cover,Back Cover,3,40,Instructional Piano,Various,Various (Compiled by W.S.B. Matthews),"1708 Chestnut Street, Philadelphia, PA",Theodore Fresser,,1892,"Almost totally ripped apart, falling apart, not all connected.",,
283,Sheet,Ave Maria,Front Cover,Back Cover,3,1,Classical,,J.S. Bach,"New York 23, NY",Century Music Publishing Co.,,1942,,NOT DOWNLOADED: 1BnGiiiBGzPpxn_lJR33,1BnGiiiBGzPpxn_lJR33Zh-P10VWIdoaf
284,Sheet,Just a Little Spray of Heather Bells,Front Cover,Back Cover,3,1,Pop,Will A. Heelan,Geo. Hamilton,"48 W. 29th Street, New York, NY",F.A. Mills,,1899,From the Sunday World Music Album,NOT DOWNLOADED: 1S7T6s8V_XA4MpshfNCG,1S7T6s8V_XA4MpshfNCGnuLDvkvPfNust
285,Sheet,Simon the Cellarer,Front Cover,Back Cover,3,1,Piano,W. H. Bellamy Esq.,J. L. Hatton,"Red Bank, NJ",H. K. Allstrom,,unknown,There is a handwritten page inside.,NOT DOWNLOADED: 17qV1UcwiCgK329gwEnK,17qV1UcwiCgK329gwEnK0yxUMtauBt2NN
286,Sheet,Larboard Watch,Front Cover,Back Cover,3,1,Piano,T. Willams,T. Willams,"New York, 229 Bowery",E. H. Harding,,unknown,,NOT DOWNLOADED: 16_SDjIb3WoUjvhfoFwd,16_SDjIb3WoUjvhfoFwdT351jMtFdg4E_
287,Sheet,Indiana,Front Cover,Back Cover,3,1,Piano,Ballard Macdonald,James F. Hanley,"224 West 47th Street, NY",Shapiro Bernstein and Co.,,1917,,NOT DOWNLOADED: 1KbEGuLdqeM2X9ozuujz,1KbEGuLdqeM2X9ozuujz2DCDeXrMICliy
288,Sheet,Keep the Home-Fries Burning ('Till the Boys Come Home),Front Cover,Back Cover,3,1,Piano/Vocal,Lena Guilbert Ford,Ivor Novello,"41, East 34th Street, NY",Chappell and Co. Ltd.,,1914-1915,"Back cover features the song ""Waiting (When I Hear the Gate a-Swinging)"" by Reginald Rigby and Leo T. Croke",NOT DOWNLOADED: 1BJswLy-Z6Ttyc90tNv5,1BJswLy-Z6Ttyc90tNv5o0qxJZLsYYJf5
289,Sheet,On the Road to Home Sweet Home,Front Cover,Back Cover,3,1,Piano/Vocal,Gus Kahn,Egbert Van Alstyne,Detroit and New York,Jerome H. Remick and Co.,,1917,2 copies,NOT DOWNLOADED: 1HbfF9HXGVh41kFiZtVZ,1HbfF9HXGVh41kFiZtVZPPvqbl6fo6med
290,Sheet,(There's a Light That's Burning in the Window of) The Little House Upon the Hill,Front Cover,Back Cover,3,1,Piano,"Ballard Macdonald, Joe Goodwin, and Harry Puck","Ballard Macdonald, Joe Goodwin, and Harry Puck","224 West 47th Street, NY",Shapiro Bernstein and Co.,,1915,"Includes an exerpt of ""Floating Down the Mississippi River On My Way to New Orleans"" by Ballard Macdonald and Albert Von Tilzer",NOT DOWNLOADED: 1vjpp8gHG8x5h8pExSaj,1vjpp8gHG8x5h8pExSajhf8oA5pSrYoD0
291,Sheet,"Beauties of Song: A Collection of the Most Popular and Beautiful Songs and Ballads, ""There's a Sigh in the Heart or Far Away""",Front Cover,Back Cover,3,1,Piano/Vocal,Anne Fricker,Anne Fricker,"547 Broadway, NY",WM. A. Pond and Co.,,unknown,,NOT DOWNLOADED: 1PGz2WrENkS-rBCXnbO7,1PGz2WrENkS-rBCXnbO7z5nUo9PytQmy0
292,Sheet,Down Honolulu Way,Front Cover,Back Cover,3,1,Pop,J. E. Dempsey,Earl Burtnett and Joz A. Burke,"New York, NY",Jerome H. Remick and Co.,,1916,Tree on the cover,NOT DOWNLOADED: 1REsg_tvtPcWXXPrGECi,1REsg_tvtPcWXXPrGECiCma1jfNtUGnok
293,Sheet,Cavalier Rustican' Rag,Front Cover,Back Cover,3,1,Ragtime,Harry Williams,Egbert Van Alstyne,"New York, NY",Jerome H. Remick and Co.,,1910,,NOT DOWNLOADED: 19TGqBlgUg6Njt8aeynn,19TGqBlgUg6Njt8aeynnLYsMascqeIYjl
294,Sheet,Over the Top,Front Cover,Back Cover,3,1,Pop,Alfred Bryan,Pete Wendling and Jack Wells,"Strand Theatre Building, New York, NY","Waterson, Berlin, and Snyder Co.",,1917,Military esque cover.,NOT DOWNLOADED: 1cKj7C4uwFpyKfu-FJnz,1cKj7C4uwFpyKfu-FJnzNk4Qmd6imCoYP
295,Sheet,Four Leaf Clover,Front Cover,Back Cover,3,1,Pop,Ella Higginson,C. Whitney Coombs,"New York, NY",G. Schirmer and Co.,,1896,"No picture on cover, just lyrics",,
296,Sheet,If I Were on The Stage,Front Cover,Back Cover,3,1,Pop/Vocal,Henry Blossom,Victor Herbert,"New York, NY",M. Witmark and Sons,,1905,As sung by Fritzi Scheff Comic Opera Compnay,,
297,Sheet,Where the Morning Glories Grow,Front Cover,Back Cover,3,1,Pop,Gus Kahn and Raymond Egan,Richard A. Whiting,"New York, NY",Jerome H. Remick and Co.,,1917,,NOT DOWNLOADED: 1ulAkooERnNNv61ge-Y1,1ulAkooERnNNv61ge-Y1GIIB-qgyqiZzZ
298,Sheet,I'll Say She Does,Front Cover,Back Cover,3,1,Pop,,"Bud DeSylva, Gus Kahn, and Al Jolson","New York, NY",Jerome H. Remick and Co.,,1918,Originally Sung by Al Jolson,NOT DOWNLOADED: 1vloJscKY6r_GPI8Yr-W,1vloJscKY6r_GPI8Yr-WaaiwjzgxtMMed
299,Book,Thirty-Nine Organ Preludes For Pipe or Reed Organs,Front Cover,Back Cover,3,39,Organ,,,"150 Fifth Avenue, New York, NY and 216-218 W. Fifth St., Dayton, Ohio",Lorenz Publishing Co.,,,,NOT DOWNLOADED: 1XV8KIMX51b0gGSnVuKZ,1XV8KIMX51b0gGSnVuKZT1MCqhHRabGYy
300,Book,52 Sacred Songs You Like to Sing,Front Cover,Back Cover,4,52,Religion,Georges Bizet,Georges Bizet,"3 East 43rd Street, New York, New York","G. Schirmer, Inc.",,1939,"There is an advertisement on the back of the bookselling other books from the collection, ""51 Piano Pieces"" etc. (There are two of these, one in better condition)",NOT DOWNLOADED: 1dxe9KkHD0n7hDKBgMj8,1dxe9KkHD0n7hDKBgMj8nVk6_qx6THQy6
301,Book,Learn to Play the Baldwin Organ with the Pointer System,Front Cover,Back Cover,4,15,Various,Thomas Haynes Bayly,Thomas Haynes Bayly,"64 East Second Street, Winona, Minnesota","Pointer System, Inc.",,1955,The book is an instruction manual for someone learning to play the Baldwin Organ using a certain movement of the fingers called the Baldwin System.,NOT DOWNLOADED: 1IMW02w5o-Y_vNGLw3Jc,1IMW02w5o-Y_vNGLw3JcdDgwGZ6FK9vYz
302,Book,Christmas Music for the Magnus Chord Organ,Front Cover,Back Cover,4,26,Christmas,Unknown,Adele Scott,"1600 W. Edgar Road, Linden, NJ",Magnus Organ Corporation,,1958,,,
303,Book,The Ditson Collection of Ten Traditional Carols for Christmas,Front Cover,Back Cover,4,11,Religion/Christmas,John Reading,,Boston,Oliver Ditson Company,,1916,,NOT DOWNLOADED: 18KVXE_yWaXyVFodGIIb,18KVXE_yWaXyVFodGIIbVSgoveg8JN3nr
304,Book,Rodgers & Hammerstein Show Tunes for Baldwin Organs,Front Cover,Back Cover,4,12,,Oscar Hammerstein,Richard Rogers,"606 Fifth Ave New York, New York",Williamson Music Inc.,,1957,"On Page 12 of the song ""If I Loved You"" there are some pencil markings.",NOT DOWNLOADED: 10rxqXKO8wvOJXjzhHvh,10rxqXKO8wvOJXjzhHvh3acReuzW0LC0S
305,Sheet,Gipsy Dance,Front Cover,Back Cover,4,1,Dance/ Piano,Unknown,Heinrich Lichner,"Chicago, Dallas, and Atlanta",American Music Co.,,,The other songs that you can buy from this collection are listed on the front.,NOT DOWNLOADED: 1WNXeh2KyJ1IcCAR7FFQ,1WNXeh2KyJ1IcCAR7FFQdBXjjXLeT3c5x
306,Book,Tschaikowsky Simplified,Front Cover,Back Cover,4,6,Organ,No lyrics,Pyotr Ilyich Tchaikovsky,"119 West 57th Street New York, New York",Ethel Smith Music Corp.,,1949,"There are originally 6 songs in this book, but some of them are missing.",NOT DOWNLOADED: 17eVctygAIg3f0O-Qrnp,17eVctygAIg3f0O-Qrnp3RnUoYpbyRk0H
307,Book,139 Selected Organ Pieces,Front Cover,Back Cover,4,139,Various,No lyrics,"Ludwig van Beethoven, Wolfgang Amadeus Mozart, and more.","1600 Boardway New York City, New York",AMSCO Music Publishing Co Inc.,,1937,The Front Cover is a very bright green with what seems to be a woman playing the organ.,NOT DOWNLOADED: 1Yr8uk1a0Oo6S6UxE49x,1Yr8uk1a0Oo6S6UxE49xoPSQ9elZHk3xT
308,Book,G-Schirmer's Octavo Church Music Christmas Anthems,Front Cover,Back Cover,4,9,Religion/Christmas,Unknown,,"3 East 43rd Street, New York, New York","G. Schirmer, Inc.",,1933,This book has various different Christmas songs some are even translated from German.,NOT DOWNLOADED: 1Oa5-qxDcclWwIg5AzZA,1Oa5-qxDcclWwIg5AzZA7yEl3I_1BY60C
